主类别,二级子类,定义与标注规则,病例示例
肿瘤生物学特征,分子分型,"ER/PR/HER2状态、基因检测结果、PD-L1表达等","三阴性乳腺癌（ER-/PR-/HER2-）"
肿瘤生物学特征,分期信息,"TNM分期（AJCC第8版）、FIGO分期等","pT2N1M0 IIB期"
解剖侵犯特征,原发灶描述,"肿瘤位置、大小、浸润深度、脉管侵犯","右乳外上象限肿物3.2×2.5cm，侵犯胸大肌筋膜"
解剖侵犯特征,转移模式,"淋巴结转移（部位/数量）、远处转移证据","腋窝Ⅲ组淋巴结4/15转移，骨扫描未见异常"
治疗历史,手术治疗,"手术方式、切缘状态、重建类型","保乳手术切缘阴性（>2mm），未行重建"
治疗历史,系统治疗,"化疗方案（药物/周期数）、靶向/免疫治疗","AC-T方案新辅助化疗6周期，曲妥珠单抗靶向治疗"
影像学发现,结构异常,"CT/MRI/PET-CT报告的肿瘤相关异常描述","CT显示胸壁术后瘢痕旁软组织增厚（SUVmax 3.5）"
影像学发现,功能评估,"代谢活性（SUV值）、扩散受限（ADC值）等","PET-CT示内乳淋巴结代谢增高（SUVmax 5.2）"
勾画规范引用,通用标准,"ICRU指南中的基础解剖边界定义","髂外血管周围CTV需外扩7mm（ICRU 89）"
勾画规范引用,病种扩展,"特定癌症的CTV扩展规则（如乳腺癌PMRT指南）","改良根治术后胸壁CTV应覆盖手术夹标记外2cm（ESTRO指南）"
动态调整因素,治疗阶段标记,"新辅助/辅助/挽救性治疗的时间节点","术后4周开始辅助放疗"
动态调整因素,解剖变化追踪,"术后缺损、放疗中器官位移/形变记录","放疗第3周CT显示直肠前壁位置较定位时后移1.2cm"
